von;datum_von;cluster_von;titel_von;nach;datum_nach;cluster_nach;titel_nach;konfidenz;label;cross_cluster;review_status;kommentar
ambitioniert-aber-vertretbar-einordnung-16-euro-mindestlohn;05.06.2024;makro;Ambitioniert aber vertretbar - Einordnung eines 16-Euro-Mindestlohns;wie-sieht-ein-guter-arbeitsmarkt-aus;23.06.2022;makro;Wie sieht ein guter Arbeitsmarkt aus? Indikatoren für einen Perspektivwechsel;hoch;wie-sieht-ein-guter-arbeitsmarkt-aus;nein;;
booster-fuer-die-konjunktur-krux-arbeitsmarkt;27.06.2025;makro;Booster fuer die Konjunktur aber die Krux bleibt der Arbeitsmarkt;potenzialwachstum-im-koalitionsvertrag;10.04.2025;makro;Wie viel Potenzialwachstum steckt im Koalitionsvertrag?;hoch;booster-fuer-die-konjunktur-krux-arbeitsmarkt;nein;;
das-lebensqualitaetsminimum;01.07.2025;makro;Das Lebensqualitaetsminimum - Neue Orientierung fuer einen angemessenen Lebensstandard;ambitioniert-aber-vertretbar-einordnung-16-euro-mindestlohn;05.06.2024;makro;Ambitioniert aber vertretbar - Einordnung eines 16-Euro-Mindestlohns;hoch;ambitioniert-aber-vertretbar-einordnung-16-euro-mindestlohn;nein;;
us-iran-krieg-inflationsschock-in-der-eu-von-2-prozentpunkten-moeglich;06.03.2026;makro;US-Iran-Krieg – Inflationsschock in der EU von 2 Prozentpunkten möglich;europas-truempfe-gegen-trump;12.02.2026;ausland;Europas Trümpfe gegen Trump;hoch;europas-truempfe-gegen-trump;ja;;
hawkish-winds-wie-zinsen-die-energiewende-treffen;19.03.2026;makro;Hawkish Winds: Wie Zinsen die Energiewende treffen;overcoming-myopia-ecb-2025-strategy-review;05.05.2025;geldpolitik und anleihemärkte;Overcoming myopia in the ECB's 2025 monetary policy strategy review;hoch;overcoming-myopia-ecb-2025-strategy-review;ja;;
emissionshandel-auf-dem-pruefstand;19.11.2021;wirtschaftspolitik;Effektiv und mehrheitsfähig? Der Emissionshandel auf dem Prüfstand;ausgaben-fuer-die-dekarbonisierung;08.09.2021;haushalt;Ausgaben für die Dekarbonisierung;hoch;Ausgaben für die Dekarbonisierung;ja;;
lng-energiesicherheit-und-klimaschutz;22.06.2023;wirtschaftspolitik;LNG, Energiesicherheit und Klimaschutz: Wege aus dem Spannungsfeld;stellungnahme-ausschuss-klimaschutz-energie-bundestag;01.01.2023;wirtschaftspolitik;Stellungnahme vor dem Ausschuss fuer Klimaschutz und Energie des Deutschen Bundestags;hoch;lng-energiesicherheit-und-klimaschutz;nein;;
die-zukunft-energieintensiver-industrien;01.03.2023;wirtschaftspolitik;Die Zukunft energieintensiver Industrien - Zwischenbericht Industrieprojekt;wirtschaftliche-mehrkosten-durch-energiepreisanstiege;17.03.2022;makro;Wirtschaftliche Mehrkosten durch Energiepreisanstiege: eine Schätzung;;;ja;;
implikationen-langfristiger-energiekostenunterschiede-fuer-energieintensive-industrien-und-den-wirtsc;01.08.2023;wirtschaftspolitik;Implikationen langfristiger Energiekostenunterschiede für energieintensive Industrien und den Wirtschaftsstandort Deutschland;die-zukunft-energieintensiver-industrien;01.03.2023;wirtschaftspolitik;Die Zukunft energieintensiver Industrien - Zwischenbericht Industrieprojekt;hoch;implikationen-langfristiger-energiekostenunterschiede-fuer-energieintensive-industrien-und-den-wirtsc;nein;;
intel-magdeburg-analyse-de;17.09.2024;wirtschaftspolitik;Zurecht umstritten: Eine industriepolitische Analyse der Intel-Magdeburg Subvention;die-zukunft-energieintensiver-industrien;01.03.2023;wirtschaftspolitik;Die Zukunft energieintensiver Industrien - Zwischenbericht Industrieprojekt;hoch;wie-sieht-ein-guter-arbeitsmarkt-aus;nein;;
stromsubvention-als-konjunkturpolitik;23.06.2025;wirtschaftspolitik;Stromsubvention als Konjunkturpolitik: Ökonomische Erwägungen zum geplanten Strompreispaket;implikationen-langfristiger-energiekostenunterschiede-fuer-energieintensive-industrien-und-den-wirtsc;01.08.2023;wirtschaftspolitik;Implikationen langfristiger Energiekostenunterschiede für energieintensive Industrien und den Wirtschaftsstandort Deutschland;hoch;effekte-staatlicher-beteiligungen-auf-den-stromnetzausbau;nein;;
comeback-deutschland-industrie-turnarounds;15.01.2026;wirtschaftspolitik;Comeback Deutschland - Industrie-Turnarounds und was wir von ihnen lernen koennen;die-zukunft-energieintensiver-industrien;01.03.2023;wirtschaftspolitik;Die Zukunft energieintensiver Industrien - Zwischenbericht Industrieprojekt;hoch;die-zukunft-energieintensiver-industrien;nein;;
wie-china-markt-fuer-markt-erobert;07.05.2026;wirtschaftspolitik;Wie China Markt für Markt erobert;comeback-deutschland-industrie-turnarounds;15.01.2026;wirtschaftspolitik;Comeback Deutschland - Industrie-Turnarounds und was wir von ihnen lernen koennen;hoch;wie-china-markt-fuer-markt-erobert;nein;;
entgleist;22.05.2025;haushalt;Entgleist: Wie eine intransparente und komplexe Finanzierungsstruktur die Kosten der Schiene in die Höhe treibt;bahn-strassen-finanzieren-ohne-schuldenbremse;09.07.2024;haushalt;Wie wir Bahn und Straßen finanzieren - ohne die Schuldenbremse zu ändern;;;nein;;
reformen-brauchen-kitas;16.04.2026;haushalt;Reformen brauchen Kitas;booster-fuer-die-konjunktur-krux-arbeitsmarkt;27.06.2025;makro;Booster fuer die Konjunktur aber die Krux bleibt der Arbeitsmarkt;;;ja;;
effekte-staatlicher-beteiligungen-auf-den-stromnetzausbau;01.12.2024;infra;Effekte staatlicher Beteiligungen auf den Stromübertragungsnetzausbau;hawkish-winds-wie-zinsen-die-energiewende-treffen;19.03.2026;makro;Hawkish Winds: Wie Zinsen die Energiewende treffen;;;ja;;
comeback-deutschland-industrie-turnarounds;15.01.2026;wirtschaftspolitik;Comeback Deutschland - Industrie-Turnarounds und was wir von ihnen lernen koennen;intel-magdeburg-analyse-de;17.09.2024;wirtschaftspolitik;Zurecht umstritten: Eine industriepolitische Analyse der Intel-Magdeburg Subvention;;;nein;;
alle-versorger-versorgen-ein-deutschland-standard-fuer-die-energiewende;23.04.2026;infra;Alle Versorger versorgen: ein Deutschland-Standard für die Energiewende;was-taugt-der-deutschlandfonds;22.01.2026;infra;Was taugt der Deutschlandfonds?;;;nein;;
warum-die-konjunkturkomponente-ihren-zweck-nicht-mehr-erfuellt;01.08.2021;fiskalpolitik;Warum die Konjunkturkomponente ihren Zweck nicht mehr erfüllt;die-konjunkturkomponente-wurde-angepasst;26.07.2024;fiskalpolitik;Die Konjunkturkomponente wurde angepasst - ein guter Anfang und noch Luft nach oben;hoch;Konjunkturkomponente angepasst (Folge der Analyse);nein;neu;
weiterentwicklung-europaeische-fiskalregeln;05.05.2022;fiskalpolitik;Zur Weiterentwicklung der europäischen Fiskalregeln;introductory-statement-at-the-econ-committee;30.11.2022;fiskalpolitik;Introductory Statement at the ECON Committee: On Shrinking the Public Balance Sheet and the Use of Debt Sustainability Analyses;hoch;ECON Committee Statement zu EU-Fiskalregeln;nein;neu;
introductory-statement-at-the-econ-committee;30.11.2022;fiskalpolitik;Introductory Statement at the ECON Committee: On Shrinking the Public Balance Sheet and the Use of Debt Sustainability Analyses;statement-european-parliamentary-week-2023;28.02.2023;fiskalpolitik;Reforming EU economic governance - Statement at the European Parliamentary Week 2023;hoch;European Parliamentary Week Statement;nein;neu;
effekte-staatlicher-beteiligungen-auf-den-stromnetzausbau;2024-12-01;infra;Effekte staatlicher Beteiligungen auf den Stromübertragungsnetzausbau;eine-neue-deutsche-finanzpolitik;2021-06-01;fiskalpolitik;Eine neue deutsche Finanzpolitik;hoch;;ja;;
